"","AGEG","STATE","SEX","IMPRACE","METSD","Freq","YEAR"
"8566","45-54","56","Female","NH Black","No",301.951849542943,2013
"8567","55-64","56","Female","NH Black","No",81.4145237769087,2013
"8568",">65","56","Female","NH Black","No",17.2300136226382,2013
"8569","18-24","1","Male","NH Asian","No",0,2013
"8570","25-34","1","Male","NH Asian","No",2487.70989826201,2013
"8571","35-44","1","Male","NH Asian","No",3144.70030295524,2013
"8572","45-54","1","Male","NH Asian","No",685.085214541996,2013
"8573","55-64","1","Male","NH Asian","No",0,2013
"8574",">65","1","Male","NH Asian","No",4117.63415293008,2013
"8575","18-24","2","Male","NH Asian","No",2330.0783890583,2013
"8576","25-34","2","Male","NH Asian","No",3821.91891087518,2013
"8577","35-44","2","Male","NH Asian","No",3608.43448426471,2013
"8578","45-54","2","Male","NH Asian","No",1861.38094012517,2013
"8579","55-64","2","Male","NH Asian","No",783.543875409335,2013
"8580",">65","2","Male","NH Asian","No",1316.19540216778,2013
"8581","18-24","4","Male","NH Asian","No",2726.83836176488,2013
"8582","25-34","4","Male","NH Asian","No",14387.4876619715,2013
"8583","35-44","4","Male","NH Asian","No",19493.5512662609,2013
"8584","45-54","4","Male","NH Asian","No",4169.06321921839,2013
"8585","55-64","4","Male","NH Asian","No",9172.7610388553,2013
"8586",">65","4","Male","NH Asian","No",1111.75898303152,2013
"8587","18-24","5","Male","NH Asian","No",0,2013
"8588","25-34","5","Male","NH Asian","No",4483.53318469091,2013
"8589","35-44","5","Male","NH Asian","No",725.505792657525,2013
"8590","45-54","5","Male","NH Asian","No",1914.85653930619,2013
"8591","55-64","5","Male","NH Asian","No",0,2013
"8592",">65","5","Male","NH Asian","No",0,2013
"8593","18-24","6","Male","NH Asian","No",341546.507108785,2013
"8594","25-34","6","Male","NH Asian","No",418191.083085546,2013
"8595","35-44","6","Male","NH Asian","No",392139.662796265,2013
"8596","45-54","6","Male","NH Asian","No",195403.660958885,2013
"8597","55-64","6","Male","NH Asian","No",120516.088614085,2013
"8598",">65","6","Male","NH Asian","No",135506.988004156,2013
"8599","18-24","8","Male","NH Asian","No",5478.45070037577,2013
"8600","25-34","8","Male","NH Asian","No",7689.01901139042,2013
"8601","35-44","8","Male","NH Asian","No",9141.49670303722,2013
"8602","45-54","8","Male","NH Asian","No",2521.69287160475,2013
"8603","55-64","8","Male","NH Asian","No",2752.34964300742,2013
"8604",">65","8","Male","NH Asian","No",1025.17031982029,2013
"8605","18-24","9","Male","NH Asian","No",11783.5240009583,2013
"8606","25-34","9","Male","NH Asian","No",13196.6421216999,2013
"8607","35-44","9","Male","NH Asian","No",11059.1356060756,2013
"8608","45-54","9","Male","NH Asian","No",5570.30552985045,2013
"8609","55-64","9","Male","NH Asian","No",5549.40888411564,2013
"8610",">65","9","Male","NH Asian","No",984.927396180154,2013
"8611","18-24","10","Male","NH Asian","No",2261.317834847,2013
"8612","25-34","10","Male","NH Asian","No",4129.87626633786,2013
"8613","35-44","10","Male","NH Asian","No",2902.71386401719,2013
"8614","45-54","10","Male","NH Asian","No",708.367257876238,2013
"8615","55-64","10","Male","NH Asian","No",0,2013
"8616",">65","10","Male","NH Asian","No",584.769973070573,2013
"8617","18-24","11","Male","NH Asian","No",1462.17970233299,2013
"8618","25-34","11","Male","NH Asian","No",2298.30838450682,2013
"8619","35-44","11","Male","NH Asian","No",1727.20879689976,2013
"8620","45-54","11","Male","NH Asian","No",310.430517350774,2013
"8621","55-64","11","Male","NH Asian","No",62.4142240314015,2013
"8622",">65","11","Male","NH Asian","No",114.780902350823,2013
"8623","18-24","12","Male","NH Asian","No",31014.6952669234,2013
"8624","25-34","12","Male","NH Asian","No",33198.3510523728,2013
"8625","35-44","12","Male","NH Asian","No",22163.8636080358,2013
"8626","45-54","12","Male","NH Asian","No",17565.9729970349,2013
"8627","55-64","12","Male","NH Asian","No",6769.14344750764,2013
"8628",">65","12","Male","NH Asian","No",2180.39445880859,2013
"8629","18-24","13","Male","NH Asian","No",41648.9516170231,2013
"8630","25-34","13","Male","NH Asian","No",42130.1764503122,2013
"8631","35-44","13","Male","NH Asian","No",14766.3159631052,2013
"8632","45-54","13","Male","NH Asian","No",15635.1456613043,2013
"8633","55-64","13","Male","NH Asian","No",6757.16959421415,2013
"8634",">65","13","Male","NH Asian","No",6385.68878282712,2013
"8635","18-24","15","Male","NH Asian","No",24168.7983130815,2013
"8636","25-34","15","Male","NH Asian","No",21126.2335585162,2013
"8637","35-44","15","Male","NH Asian","No",22448.6646084787,2013
"8638","45-54","15","Male","NH Asian","No",27203.5454539133,2013
"8639","55-64","15","Male","NH Asian","No",31189.8207557991,2013
"8640",">65","15","Male","NH Asian","No",38852.1660601344,2013
"8641","18-24","16","Male","NH Asian","No",347.29090553102,2013
"8642","25-34","16","Male","NH Asian","No",2312.34219557272,2013
"8643","35-44","16","Male","NH Asian","No",0,2013
"8644","45-54","16","Male","NH Asian","No",487.667076719206,2013
"8645","55-64","16","Male","NH Asian","No",70.7830553919317,2013
"8646",">65","16","Male","NH Asian","No",0,2013
"8647","18-24","17","Male","NH Asian","No",30808.815364643,2013
"8648","25-34","17","Male","NH Asian","No",64338.3317251681,2013
"8649","35-44","17","Male","NH Asian","No",51737.6683874126,2013
"8650","45-54","17","Male","NH Asian","No",30014.9789787171,2013
"8651","55-64","17","Male","NH Asian","No",6887.29277921799,2013
"8652",">65","17","Male","NH Asian","No",12922.6526959032,2013
"8653","18-24","18","Male","NH Asian","No",4281.82750935439,2013
"8654","25-34","18","Male","NH Asian","No",10263.3647166086,2013
"8655","35-44","18","Male","NH Asian","No",3927.86826584203,2013
"8656","45-54","18","Male","NH Asian","No",1008.0089034771,2013
"8657","55-64","18","Male","NH Asian","No",2334.38670297031,2013
"8658",">65","18","Male","NH Asian","No",1704.03986325588,2013
"8659","18-24","19","Male","NH Asian","No",4956.57229094673,2013
"8660","25-34","19","Male","NH Asian","No",3686.09915674946,2013
"8661","35-44","19","Male","NH Asian","No",4113.18957196639,2013
"8662","45-54","19","Male","NH Asian","No",1841.75916671795,2013
"8663","55-64","19","Male","NH Asian","No",149.131716028101,2013
"8664",">65","19","Male","NH Asian","No",0,2013
"8665","18-24","20","Male","NH Asian","No",5267.63590524489,2013
"8666","25-34","20","Male","NH Asian","No",5495.6457014467,2013
"8667","35-44","20","Male","NH Asian","No",4644.46307838894,2013
"8668","45-54","20","Male","NH Asian","No",3449.31256695604,2013
"8669","55-64","20","Male","NH Asian","No",1406.38516385886,2013
"8670",">65","20","Male","NH Asian","No",520.622227097375,2013
"8671","18-24","21","Male","NH Asian","No",1983.8988827532,2013
"8672","25-34","21","Male","NH Asian","No",3185.94092042927,2013
"8673","35-44","21","Male","NH Asian","No",4582.79147153173,2013
"8674","45-54","21","Male","NH Asian","No",135.853889089791,2013
"8675","55-64","21","Male","NH Asian","No",332.611121629348,2013
"8676",">65","21","Male","NH Asian","No",0,2013
"8677","18-24","22","Male","NH Asian","No",10402.4556168639,2013
"8678","25-34","22","Male","NH Asian","No",4652.6596419882,2013
"8679","35-44","22","Male","NH Asian","No",2628.75874528764,2013
"8680","45-54","22","Male","NH Asian","No",7734.71670156841,2013
"8681","55-64","22","Male","NH Asian","No",725.108397475542,2013
"8682",">65","22","Male","NH Asian","No",330.43526100999,2013
"8683","18-24","23","Male","NH Asian","No",1485.57967843974,2013
"8684","25-34","23","Male","NH Asian","No",190.029948203533,2013
"8685","35-44","23","Male","NH Asian","No",670.661384048131,2013
"8686","45-54","23","Male","NH Asian","No",456.72237087319,2013
"8687","55-64","23","Male","NH Asian","No",0,2013
"8688",">65","23","Male","NH Asian","No",0,2013
"8689","18-24","24","Male","NH Asian","No",20512.561261465,2013
"8690","25-34","24","Male","NH Asian","No",25862.9571747737,2013
"8691","35-44","24","Male","NH Asian","No",15295.3711344514,2013
"8692","45-54","24","Male","NH Asian","No",17495.0294941344,2013
"8693","55-64","24","Male","NH Asian","No",8419.94373364235,2013
"8694",">65","24","Male","NH Asian","No",10708.6691534297,2013
"8695","18-24","25","Male","NH Asian","No",27087.8808090468,2013
"8696","25-34","25","Male","NH Asian","No",37733.5746884741,2013
"8697","35-44","25","Male","NH Asian","No",36267.5813101215,2013
"8698","45-54","25","Male","NH Asian","No",12621.613219073,2013
"8699","55-64","25","Male","NH Asian","No",4163.0333813554,2013
"8700",">65","25","Male","NH Asian","No",5813.45321706176,2013
"8701","18-24","26","Male","NH Asian","No",23531.5187407798,2013
"8702","25-34","26","Male","NH Asian","No",14061.7590038311,2013
"8703","35-44","26","Male","NH Asian","No",16486.3828879457,2013
"8704","45-54","26","Male","NH Asian","No",17890.305954265,2013
"8705","55-64","26","Male","NH Asian","No",3326.61028234436,2013
"8706",">65","26","Male","NH Asian","No",174.778481224028,2013
"8707","18-24","27","Male","NH Asian","No",18231.3851514809,2013
"8708","25-34","27","Male","NH Asian","No",21697.9418431833,2013
"8709","35-44","27","Male","NH Asian","No",13742.9762898658,2013
"8710","45-54","27","Male","NH Asian","No",11346.1840995417,2013
"8711","55-64","27","Male","NH Asian","No",994.41943436487,2013
"8712",">65","27","Male","NH Asian","No",863.358764739752,2013
"8713","18-24","28","Male","NH Asian","No",0,2013
"8714","25-34","28","Male","NH Asian","No",1500.42051341439,2013
"8715","35-44","28","Male","NH Asian","No",1412.6237689115,2013
"8716","45-54","28","Male","NH Asian","No",1603.93650078382,2013
"8717","55-64","28","Male","NH Asian","No",250.942923038395,2013
"8718",">65","28","Male","NH Asian","No",69.1357012251454,2013
"8719","18-24","29","Male","NH Asian","No",6397.73769888435,2013
"8720","25-34","29","Male","NH Asian","No",8431.41297009946,2013
"8721","35-44","29","Male","NH Asian","No",10715.4242526162,2013
"8722","45-54","29","Male","NH Asian","No",2599.40266609282,2013
"8723","55-64","29","Male","NH Asian","No",275.334555971723,2013
"8724",">65","29","Male","NH Asian","No",0,2013
"8725","18-24","30","Male","NH Asian","No",743.413042829074,2013
"8726","25-34","30","Male","NH Asian","No",592.796671500994,2013
"8727","35-44","30","Male","NH Asian","No",56.707201935325,2013
"8728","45-54","30","Male","NH Asian","No",988.313790418213,2013
"8729","55-64","30","Male","NH Asian","No",232.540895963738,2013
"8730",">65","30","Male","NH Asian","No",32.52415367644,2013
"8731","18-24","31","Male","NH Asian","No",2102.71841202507,2013
"8732","25-34","31","Male","NH Asian","No",3055.24177665899,2013
"8733","35-44","31","Male","NH Asian","No",3256.90372661431,2013
"8734","45-54","31","Male","NH Asian","No",357.616060979823,2013
"8735","55-64","31","Male","NH Asian","No",504.392429472775,2013
"8736",">65","31","Male","NH Asian","No",272.196084859875,2013
"8737","18-24","32","Male","NH Asian","No",7287.13045635883,2013
"8738","25-34","32","Male","NH Asian","No",9760.68220387938,2013
"8739","35-44","32","Male","NH Asian","No",12625.8113752197,2013
"8740","45-54","32","Male","NH Asian","No",7475.58586327882,2013
"8741","55-64","32","Male","NH Asian","No",9847.59919716706,2013
"8742",">65","32","Male","NH Asian","No",10274.8948805624,2013
"8743","18-24","33","Male","NH Asian","No",781.561883011017,2013
"8744","25-34","33","Male","NH Asian","No",1322.76930467537,2013
"8745","35-44","33","Male","NH Asian","No",1319.23965381045,2013
"8746","45-54","33","Male","NH Asian","No",1139.16037435089,2013
"8747","55-64","33","Male","NH Asian","No",238.784775159423,2013
"8748",">65","33","Male","NH Asian","No",259.986550760256,2013
"8749","18-24","34","Male","NH Asian","No",27336.7007266262,2013
"8750","25-34","34","Male","NH Asian","No",72114.4823610181,2013
"8751","35-44","34","Male","NH Asian","No",73119.2149760998,2013
"8752","45-54","34","Male","NH Asian","No",36691.3171079872,2013
"8753","55-64","34","Male","NH Asian","No",30295.1462169736,2013
"8754",">65","34","Male","NH Asian","No",22355.1680906781,2013
"8755","18-24","35","Male","NH Asian","No",326.3429644175,2013
"8756","25-34","35","Male","NH Asian","No",723.625432933907,2013
"8757","35-44","35","Male","NH Asian","No",1140.59726635859,2013
"8758","45-54","35","Male","NH Asian","No",943.609099430066,2013
"8759","55-64","35","Male","NH Asian","No",1441.49632883503,2013
"8760",">65","35","Male","NH Asian","No",878.617170621933,2013
"8761","18-24","36","Male","NH Asian","No",124411.929351858,2013
"8762","25-34","36","Male","NH Asian","No",112890.161423637,2013
"8763","35-44","36","Male","NH Asian","No",138191.942016361,2013
"8764","45-54","36","Male","NH Asian","No",80226.5928947332,2013
"8765","55-64","36","Male","NH Asian","No",42293.3832207539,2013
"8766",">65","36","Male","NH Asian","No",60163.6126785915,2013
"8767","18-24","37","Male","NH Asian","No",18575.6324030347,2013
"8768","25-34","37","Male","NH Asian","No",18223.540604559,2013
"8769","35-44","37","Male","NH Asian","No",16300.1007205731,2013
"8770","45-54","37","Male","NH Asian","No",10512.6459798703,2013
"8771","55-64","37","Male","NH Asian","No",3889.60572176187,2013
"8772",">65","37","Male","NH Asian","No",3521.04669089622,2013
"8773","18-24","38","Male","NH Asian","No",1719.64948301733,2013
"8774","25-34","38","Male","NH Asian","No",579.946260316775,2013
"8775","35-44","38","Male","NH Asian","No",164.224656063242,2013
"8776","45-54","38","Male","NH Asian","No",263.119406582774,2013
"8777","55-64","38","Male","NH Asian","No",263.309255917507,2013
"8778",">65","38","Male","NH Asian","No",0,2013
"8779","18-24","39","Male","NH Asian","No",14112.9632449878,2013
"8780","25-34","39","Male","NH Asian","No",21717.6460603753,2013
"8781","35-44","39","Male","NH Asian","No",13353.4887258861,2013
"8782","45-54","39","Male","NH Asian","No",11349.4761478329,2013
"8783","55-64","39","Male","NH Asian","No",1882.00997344395,2013
"8784",">65","39","Male","NH Asian","No",2116.61426716168,2013
"8785","18-24","40","Male","NH Asian","No",10903.4720108855,2013
"8786","25-34","40","Male","NH Asian","No",3462.11325096251,2013
"8787","35-44","40","Male","NH Asian","No",6289.65801611696,2013
"8788","45-54","40","Male","NH Asian","No",3896.77321640986,2013
"8789","55-64","40","Male","NH Asian","No",2668.1164768319,2013
"8790",">65","40","Male","NH Asian","No",0,2013
"8791","18-24","41","Male","NH Asian","No",7770.84567631064,2013
"8792","25-34","41","Male","NH Asian","No",10819.1247432342,2013
"8793","35-44","41","Male","NH Asian","No",15343.6305259734,2013
"8794","45-54","41","Male","NH Asian","No",4438.67349579593,2013
"8795","55-64","41","Male","NH Asian","No",3830.74154288553,2013
"8796",">65","41","Male","NH Asian","No",257.922928584044,2013
"8797","18-24","42","Male","NH Asian","No",21119.6663946908,2013
"8798","25-34","42","Male","NH Asian","No",29173.4464908541,2013
"8799","35-44","42","Male","NH Asian","No",35603.3301835039,2013
"8800","45-54","42","Male","NH Asian","No",22645.2333152134,2013
"8801","55-64","42","Male","NH Asian","No",6679.95039639119,2013
"8802",">65","42","Male","NH Asian","No",5425.24215819688,2013
"8803","18-24","44","Male","NH Asian","No",1883.38608450246,2013
"8804","25-34","44","Male","NH Asian","No",2770.26295166503,2013
"8805","35-44","44","Male","NH Asian","No",1734.00334621836,2013
"8806","45-54","44","Male","NH Asian","No",1168.81159409665,2013
"8807","55-64","44","Male","NH Asian","No",968.461742600081,2013
"8808",">65","44","Male","NH Asian","No",492.986728147406,2013
"8809","18-24","45","Male","NH Asian","No",4047.84141431244,2013
"8810","25-34","45","Male","NH Asian","No",4549.47891446708,2013
"8811","35-44","45","Male","NH Asian","No",2364.36840475348,2013
"8812","45-54","45","Male","NH Asian","No",4052.35808191282,2013
"8813","55-64","45","Male","NH Asian","No",199.428940695611,2013
"8814",">65","45","Male","NH Asian","No",157.063345339474,2013
"8815","18-24","46","Male","NH Asian","No",1134.35647905319,2013
"8816","25-34","46","Male","NH Asian","No",129.933826055358,2013
"8817","35-44","46","Male","NH Asian","No",664.158980130684,2013
"8818","45-54","46","Male","NH Asian","No",103.560859863601,2013
"8819","55-64","46","Male","NH Asian","No",265.165435497164,2013
"8820",">65","46","Male","NH Asian","No",0,2013
"8821","18-24","47","Male","NH Asian","No",3661.02601418169,2013
"8822","25-34","47","Male","NH Asian","No",20532.4157013077,2013
"8823","35-44","47","Male","NH Asian","No",2696.67034019011,2013
"8824","45-54","47","Male","NH Asian","No",5242.81178109287,2013
"8825","55-64","47","Male","NH Asian","No",4152.69667210281,2013
"8826",">65","47","Male","NH Asian","No",0,2013
"8827","18-24","48","Male","NH Asian","No",64368.7542437703,2013
"8828","25-34","48","Male","NH Asian","No",105145.220174969,2013
"8829","35-44","48","Male","NH Asian","No",90525.1044968236,2013
"8830","45-54","48","Male","NH Asian","No",48468.4983277969,2013
"8831","55-64","48","Male","NH Asian","No",59499.6792313153,2013
"8832",">65","48","Male","NH Asian","No",15475.6677957659,2013
"8833","18-24","49","Male","NH Asian","No",4293.43712013655,2013
"8834","25-34","49","Male","NH Asian","No",6453.28272633641,2013
"8835","35-44","49","Male","NH Asian","No",4789.74110972324,2013
"8836","45-54","49","Male","NH Asian","No",1411.4145038811,2013
"8837","55-64","49","Male","NH Asian","No",1220.96363725788,2013
"8838",">65","49","Male","NH Asian","No",191.67005933886,2013
"8839","18-24","50","Male","NH Asian","No",2213.75922357932,2013
"8840","25-34","50","Male","NH Asian","No",1389.56827049487,2013
"8841","35-44","50","Male","NH Asian","No",901.142370752429,2013
"8842","45-54","50","Male","NH Asian","No",53.1935793698212,2013
"8843","55-64","50","Male","NH Asian","No",93.3491628980211,2013
"8844",">65","50","Male","NH Asian","No",126.376614641555,2013
"8845","18-24","51","Male","NH Asian","No",35896.0133695218,2013
"8846","25-34","51","Male","NH Asian","No",28840.1545766765,2013
"8847","35-44","51","Male","NH Asian","No",42820.4691416435,2013
"8848","45-54","51","Male","NH Asian","No",19242.5231859101,2013
"8849","55-64","51","Male","NH Asian","No",8925.99270337121,2013
"8850",">65","51","Male","NH Asian","No",1400.30051049957,2013
"8851","18-24","53","Male","NH Asian","No",47452.8486526666,2013
"8852","25-34","53","Male","NH Asian","No",40093.7837842599,2013
"8853","35-44","53","Male","NH Asian","No",36447.4885832637,2013
"8854","45-54","53","Male","NH Asian","No",21566.6350425547,2013
"8855","55-64","53","Male","NH Asian","No",16410.9675969603,2013
"8856",">65","53","Male","NH Asian","No",17474.884420747,2013
"8857","18-24","54","Male","NH Asian","No",0,2013
"8858","25-34","54","Male","NH Asian","No",1599.89676663788,2013
"8859","35-44","54","Male","NH Asian","No",1043.78707926787,2013
"8860","45-54","54","Male","NH Asian","No",434.965817249086,2013
"8861","55-64","54","Male","NH Asian","No",713.185831576849,2013
"8862",">65","54","Male","NH Asian","No",90.2215774370759,2013
"8863","18-24","55","Male","NH Asian","No",13219.8766388246,2013
"8864","25-34","55","Male","NH Asian","No",16763.0908301146,2013
"8865","35-44","55","Male","NH Asian","No",7923.44962461304,2013
"8866","45-54","55","Male","NH Asian","No",14222.4530339705,2013
"8867","55-64","55","Male","NH Asian","No",0,2013
"8868",">65","55","Male","NH Asian","No",1016.00059053305,2013
"8869","18-24","56","Male","NH Asian","No",177.329375689906,2013
"8870","25-34","56","Male","NH Asian","No",1013.3955184294,2013
"8871","35-44","56","Male","NH Asian","No",0,2013
"8872","45-54","56","Male","NH Asian","No",0,2013
"8873","55-64","56","Male","NH Asian","No",0,2013
"8874",">65","56","Male","NH Asian","No",124.274163436132,2013
"8875","18-24","1","Female","NH Asian","No",0,2013
"8876","25-34","1","Female","NH Asian","No",1738.17427078269,2013
"8877","35-44","1","Female","NH Asian","No",4242.60373570748,2013
"8878","45-54","1","Female","NH Asian","No",1288.2625209423,2013
"8879","55-64","1","Female","NH Asian","No",1164.70977911824,2013
"8880",">65","1","Female","NH Asian","No",1472.08141281022,2013
"8881","18-24","2","Female","NH Asian","No",3301.37827541169,2013
"8882","25-34","2","Female","NH Asian","No",3902.00622895494,2013
"8883","35-44","2","Female","NH Asian","No",2803.94858695436,2013
"8884","45-54","2","Female","NH Asian","No",658.733048849643,2013
"8885","55-64","2","Female","NH Asian","No",1106.207080674,2013
"8886",">65","2","Female","NH Asian","No",397.511627639305,2013
"8887","18-24","4","Female","NH Asian","No",10327.1940894911,2013
"8888","25-34","4","Female","NH Asian","No",21742.4871570448,2013
"8889","35-44","4","Female","NH Asian","No",21317.57650053,2013
"8890","45-54","4","Female","NH Asian","No",11538.9913723691,2013
"8891","55-64","4","Female","NH Asian","No",1880.04632893521,2013
"8892",">65","4","Female","NH Asian","No",2441.8152101912,2013
"8893","18-24","5","Female","NH Asian","No",1096.33753508584,2013
"8894","25-34","5","Female","NH Asian","No",1223.98476839692,2013
"8895","35-44","5","Female","NH Asian","No",882.932509667777,2013
"8896","45-54","5","Female","NH Asian","No",202.233078048792,2013
"8897","55-64","5","Female","NH Asian","No",0,2013
"8898",">65","5","Female","NH Asian","No",522.133966096027,2013
"8899","18-24","6","Female","NH Asian","No",341418.296231429,2013
"8900","25-34","6","Female","NH Asian","No",357576.276094561,2013
"8901","35-44","6","Female","NH Asian","No",578344.576354249,2013
"8902","45-54","6","Female","NH Asian","No",268712.235726279,2013
"8903","55-64","6","Female","NH Asian","No",191435.498676863,2013
"8904",">65","6","Female","NH Asian","No",207390.43500489,2013
"8905","18-24","8","Female","NH Asian","No",3920.68319608818,2013
"8906","25-34","8","Female","NH Asian","No",10176.951226753,2013
"8907","35-44","8","Female","NH Asian","No",7137.00940934421,2013
"8908","45-54","8","Female","NH Asian","No",7139.68195014327,2013
"8909","55-64","8","Female","NH Asian","No",3033.40984970689,2013
"8910",">65","8","Female","NH Asian","No",1442.46830614533,2013
"8911","18-24","9","Female","NH Asian","No",11192.8508229328,2013
"8912","25-34","9","Female","NH Asian","No",8928.83870725104,2013
"8913","35-44","9","Female","NH Asian","No",11639.5597197157,2013
"8914","45-54","9","Female","NH Asian","No",6923.72200114218,2013
"8915","55-64","9","Female","NH Asian","No",2656.7828462346,2013
"8916",">65","9","Female","NH Asian","No",1408.15084710865,2013
"8917","18-24","10","Female","NH Asian","No",2340.69247212209,2013
"8918","25-34","10","Female","NH Asian","No",1468.29226705367,2013
"8919","35-44","10","Female","NH Asian","No",2948.22035703946,2013
"8920","45-54","10","Female","NH Asian","No",615.464206737072,2013
"8921","55-64","10","Female","NH Asian","No",248.175974319898,2013
"8922",">65","10","Female","NH Asian","No",0,2013
"8923","18-24","11","Female","NH Asian","No",4331.67357972251,2013
"8924","25-34","11","Female","NH Asian","No",2371.67104976353,2013
"8925","35-44","11","Female","NH Asian","No",1663.25733797904,2013
"8926","45-54","11","Female","NH Asian","No",581.468746727776,2013
"8927","55-64","11","Female","NH Asian","No",497.084727680481,2013
"8928",">65","11","Female","NH Asian","No",412.030287876707,2013
"8929","18-24","12","Female","NH Asian","No",12407.9481044744,2013
"8930","25-34","12","Female","NH Asian","No",19536.0029934892,2013
"8931","35-44","12","Female","NH Asian","No",29214.8173445504,2013
"8932","45-54","12","Female","NH Asian","No",15725.7319303718,2013
"8933","55-64","12","Female","NH Asian","No",12979.3341562534,2013
"8934",">65","12","Female","NH Asian","No",5452.9188437493,2013
"8935","18-24","13","Female","NH Asian","No",32386.022732692,2013
"8936","25-34","13","Female","NH Asian","No",31577.539345817,2013
"8937","35-44","13","Female","NH Asian","No",23666.7709909079,2013
"8938","45-54","13","Female","NH Asian","No",6631.73832380961,2013
"8939","55-64","13","Female","NH Asian","No",5546.9573395021,2013
"8940",">65","13","Female","NH Asian","No",523.726918623515,2013
"8941","18-24","15","Female","NH Asian","No",15061.6973354667,2013
"8942","25-34","15","Female","NH Asian","No",27407.972357958,2013
"8943","35-44","15","Female","NH Asian","No",36020.6843512042,2013
"8944","45-54","15","Female","NH Asian","No",37404.4289924067,2013
"8945","55-64","15","Female","NH Asian","No",34543.1667291099,2013
"8946",">65","15","Female","NH Asian","No",53049.9507425437,2013
"8947","18-24","16","Female","NH Asian","No",2681.41453354055,2013
"8948","25-34","16","Female","NH Asian","No",738.320958941956,2013
"8949","35-44","16","Female","NH Asian","No",2353.74588985714,2013
"8950","45-54","16","Female","NH Asian","No",1413.70886390924,2013
"8951","55-64","16","Female","NH Asian","No",770.330646937467,2013
"8952",">65","16","Female","NH Asian","No",380.788276715136,2013
"8953","18-24","17","Female","NH Asian","No",61116.166985788,2013
"8954","25-34","17","Female","NH Asian","No",63976.446268689,2013
"8955","35-44","17","Female","NH Asian","No",30242.1234226184,2013
"8956","45-54","17","Female","NH Asian","No",30046.7641525886,2013
"8957","55-64","17","Female","NH Asian","No",9809.23141739822,2013
"8958",">65","17","Female","NH Asian","No",6443.34569926218,2013
"8959","18-24","18","Female","NH Asian","No",5664.1380794643,2013
"8960","25-34","18","Female","NH Asian","No",2899.14095253639,2013
"8961","35-44","18","Female","NH Asian","No",5277.1513258711,2013
"8962","45-54","18","Female","NH Asian","No",4440.82151200136,2013
"8963","55-64","18","Female","NH Asian","No",2641.88413287518,2013
"8964",">65","18","Female","NH Asian","No",960.11328512618,2013
"8965","18-24","19","Female","NH Asian","No",6846.04383026126,2013
"8966","25-34","19","Female","NH Asian","No",4696.50276048602,2013
"8967","35-44","19","Female","NH Asian","No",1894.86048027201,2013
"8968","45-54","19","Female","NH Asian","No",1636.18325280712,2013
"8969","55-64","19","Female","NH Asian","No",868.915586332219,2013
"8970",">65","19","Female","NH Asian","No",477.2170586945,2013
"8971","18-24","20","Female","NH Asian","No",5497.22929473737,2013
"8972","25-34","20","Female","NH Asian","No",8274.41196485699,2013
"8973","35-44","20","Female","NH Asian","No",4554.35408082786,2013
"8974","45-54","20","Female","NH Asian","No",2910.44470309387,2013
"8975","55-64","20","Female","NH Asian","No",1205.91084472101,2013
"8976",">65","20","Female","NH Asian","No",386.329388328717,2013
"8977","18-24","21","Female","NH Asian","No",1366.84627401699,2013
"8978","25-34","21","Female","NH Asian","No",2731.54370420429,2013
"8979","35-44","21","Female","NH Asian","No",1722.80994663097,2013
"8980","45-54","21","Female","NH Asian","No",1515.26712845672,2013
"8981","55-64","21","Female","NH Asian","No",912.617283287256,2013
"8982",">65","21","Female","NH Asian","No",24.5650998347643,2013
"8983","18-24","22","Female","NH Asian","No",1435.8616893645,2013
"8984","25-34","22","Female","NH Asian","No",0,2013
"8985","35-44","22","Female","NH Asian","No",2649.92526743277,2013
"8986","45-54","22","Female","NH Asian","No",4458.82120853573,2013
"8987","55-64","22","Female","NH Asian","No",242.598290333227,2013
"8988",">65","22","Female","NH Asian","No",482.073792949433,2013
"8989","18-24","23","Female","NH Asian","No",612.718529451362,2013
"8990","25-34","23","Female","NH Asian","No",200.472399984367,2013
"8991","35-44","23","Female","NH Asian","No",330.657397189585,2013
"8992","45-54","23","Female","NH Asian","No",343.867739107648,2013
"8993","55-64","23","Female","NH Asian","No",149.675242682463,2013
"8994",">65","23","Female","NH Asian","No",222.014403743964,2013
"8995","18-24","24","Female","NH Asian","No",26709.1630603545,2013
"8996","25-34","24","Female","NH Asian","No",24155.5722593483,2013
"8997","35-44","24","Female","NH Asian","No",27474.9359694155,2013
"8998","45-54","24","Female","NH Asian","No",13552.3688198372,2013
"8999","55-64","24","Female","NH Asian","No",7136.6216638152,2013
"9000",">65","24","Female","NH Asian","No",4046.41533847581,2013
"9001","18-24","25","Female","NH Asian","No",31678.1746064183,2013
"9002","25-34","25","Female","NH Asian","No",41226.6440782037,2013
"9003","35-44","25","Female","NH Asian","No",38728.1518402795,2013
"9004","45-54","25","Female","NH Asian","No",13891.2165851648,2013
"9005","55-64","25","Female","NH Asian","No",5304.21256434235,2013
"9006",">65","25","Female","NH Asian","No",4282.98725986315,2013
"9007","18-24","26","Female","NH Asian","No",22713.8928194376,2013
"9008","25-34","26","Female","NH Asian","No",21807.3187525712,2013
"9009","35-44","26","Female","NH Asian","No",17479.9821069613,2013
"9010","45-54","26","Female","NH Asian","No",13647.6909782581,2013
"9011","55-64","26","Female","NH Asian","No",6433.17451244924,2013
"9012",">65","26","Female","NH Asian","No",3320.98227424323,2013
