"","AGEG","STATE","SEX","IMPRACE","METSD","Freq","YEAR"
"7439","55-64","19","Male","NH White","No",130074.057380561,2013
"7440",">65","19","Male","NH White","No",121777.975353016,2013
"7441","18-24","20","Male","NH White","No",112933.409532374,2013
"7442","25-34","20","Male","NH White","No",138459.53774946,2013
"7443","35-44","20","Male","NH White","No",115967.314032647,2013
"7444","45-54","20","Male","NH White","No",120741.090640012,2013
"7445","55-64","20","Male","NH White","No",101383.947005705,2013
"7446",">65","20","Male","NH White","No",102389.026283746,2013
"7447","18-24","21","Male","NH White","No",166108.09192173,2013
"7448","25-34","21","Male","NH White","No",224915.549114696,2013
"7449","35-44","21","Male","NH White","No",204214.75615363,2013
"7450","45-54","21","Male","NH White","No",202628.170907413,2013
"7451","55-64","21","Male","NH White","No",146088.252668535,2013
"7452",">65","21","Male","NH White","No",155133.313630627,2013
"7453","18-24","22","Male","NH White","No",118570.534278476,2013
"7454","25-34","22","Male","NH White","No",162239.322111472,2013
"7455","35-44","22","Male","NH White","No",151930.076858219,2013
"7456","45-54","22","Male","NH White","No",150817.124436177,2013
"7457","55-64","22","Male","NH White","No",119896.291889082,2013
"7458",">65","22","Male","NH White","No",108797.096696401,2013
"7459","18-24","23","Male","NH White","No",54727.311878097,2013
"7460","25-34","23","Male","NH White","No",64620.9581133386,2013
"7461","35-44","23","Male","NH White","No",60678.7528578539,2013
"7462","45-54","23","Male","NH White","No",72661.0867904959,2013
"7463","55-64","23","Male","NH White","No",68233.216680999,2013
"7464",">65","23","Male","NH White","No",62781.6081700724,2013
"7465","18-24","24","Male","NH White","No",154184.989366269,2013
"7466","25-34","24","Male","NH White","No",190119.677634305,2013
"7467","35-44","24","Male","NH White","No",160174.467290216,2013
"7468","45-54","24","Male","NH White","No",190456.682379307,2013
"7469","55-64","24","Male","NH White","No",159052.140604603,2013
"7470",">65","24","Male","NH White","No",153935.76646859,2013
"7471","18-24","25","Male","NH White","No",251241.84568071,2013
"7472","25-34","25","Male","NH White","No",269410.439609593,2013
"7473","35-44","25","Male","NH White","No",256481.65339244,2013
"7474","45-54","25","Male","NH White","No",321010.186726339,2013
"7475","55-64","25","Male","NH White","No",258000.391892345,2013
"7476",">65","25","Male","NH White","No",229780.840418491,2013
"7477","18-24","26","Male","NH White","No",374682.057326518,2013
"7478","25-34","26","Male","NH White","No",430208.744404046,2013
"7479","35-44","26","Male","NH White","No",367666.221851368,2013
"7480","45-54","26","Male","NH White","No",412394.705229516,2013
"7481","55-64","26","Male","NH White","No",347547.846289446,2013
"7482",">65","26","Male","NH White","No",315214.572552796,2013
"7483","18-24","27","Male","NH White","No",207243.365647613,2013
"7484","25-34","27","Male","NH White","No",268271.865279778,2013
"7485","35-44","27","Male","NH White","No",247343.781182349,2013
"7486","45-54","27","Male","NH White","No",280534.547505989,2013
"7487","55-64","27","Male","NH White","No",235181.328119419,2013
"7488",">65","27","Male","NH White","No",204376.894865924,2013
"7489","18-24","28","Male","NH White","No",73690.0332588048,2013
"7490","25-34","28","Male","NH White","No",98111.9168782285,2013
"7491","35-44","28","Male","NH White","No",89600.5509914465,2013
"7492","45-54","28","Male","NH White","No",83144.0849119595,2013
"7493","55-64","28","Male","NH White","No",70934.2613330469,2013
"7494",">65","28","Male","NH White","No",76964.2984708315,2013
"7495","18-24","29","Male","NH White","No",225438.976978723,2013
"7496","25-34","29","Male","NH White","No",295887.565642179,2013
"7497","35-44","29","Male","NH White","No",239994.612026153,2013
"7498","45-54","29","Male","NH White","No",276516.364945111,2013
"7499","55-64","29","Male","NH White","No",214746.634131302,2013
"7500",">65","29","Male","NH White","No",232225.895213688,2013
"7501","18-24","30","Male","NH White","No",41900.3223796827,2013
"7502","25-34","30","Male","NH White","No",52156.5730894697,2013
"7503","35-44","30","Male","NH White","No",45867.5018068263,2013
"7504","45-54","30","Male","NH White","No",50165.7323301084,2013
"7505","55-64","30","Male","NH White","No",54387.149184052,2013
"7506",">65","30","Male","NH White","No",49094.2207129463,2013
"7507","18-24","31","Male","NH White","No",72384.9235041151,2013
"7508","25-34","31","Male","NH White","No",95472.1910979061,2013
"7509","35-44","31","Male","NH White","No",74280.6431066665,2013
"7510","45-54","31","Male","NH White","No",84941.0564416319,2013
"7511","55-64","31","Male","NH White","No",71333.2691462564,2013
"7512",">65","31","Male","NH White","No",66345.2670506366,2013
"7513","18-24","32","Male","NH White","No",59840.2715931269,2013
"7514","25-34","32","Male","NH White","No",95528.9468644608,2013
"7515","35-44","32","Male","NH White","No",81756.2903302489,2013
"7516","45-54","32","Male","NH White","No",94174.8373343056,2013
"7517","55-64","32","Male","NH White","No",76542.0299616752,2013
"7518",">65","32","Male","NH White","No",81412.6341152105,2013
"7519","18-24","33","Male","NH White","No",58196.251542098,2013
"7520","25-34","33","Male","NH White","No",63661.1700313246,2013
"7521","35-44","33","Male","NH White","No",65292.8312777517,2013
"7522","45-54","33","Male","NH White","No",77147.6659539788,2013
"7523","55-64","33","Male","NH White","No",63661.4982861976,2013
"7524",">65","33","Male","NH White","No",52058.630502692,2013
"7525","18-24","34","Male","NH White","No",235192.716874638,2013
"7526","25-34","34","Male","NH White","No",261235.00311093,2013
"7527","35-44","34","Male","NH White","No",249252.16805144,2013
"7528","45-54","34","Male","NH White","No",313760.51627237,2013
"7529","55-64","34","Male","NH White","No",241676.240154768,2013
"7530",">65","34","Male","NH White","No",250974.308705259,2013
"7531","18-24","35","Male","NH White","No",32317.198888825,2013
"7532","25-34","35","Male","NH White","No",44441.8260494368,2013
"7533","35-44","35","Male","NH White","No",45561.9442760842,2013
"7534","45-54","35","Male","NH White","No",44945.9863207637,2013
"7535","55-64","35","Male","NH White","No",49056.0620582335,2013
"7536",">65","35","Male","NH White","No",57578.7928937009,2013
"7537","18-24","36","Male","NH White","No",469516.411323455,2013
"7538","25-34","36","Male","NH White","No",669343.289786743,2013
"7539","35-44","36","Male","NH White","No",580638.93802801,2013
"7540","45-54","36","Male","NH White","No",619760.971209793,2013
"7541","55-64","36","Male","NH White","No",574115.516615712,2013
"7542",">65","36","Male","NH White","No",583757.638055891,2013
"7543","18-24","37","Male","NH White","No",281762.637048357,2013
"7544","25-34","37","Male","NH White","No",370721.922511859,2013
"7545","35-44","37","Male","NH White","No",354785.385308201,2013
"7546","45-54","37","Male","NH White","No",358625.729964738,2013
"7547","55-64","37","Male","NH White","No",265873.214170043,2013
"7548",">65","37","Male","NH White","No",276169.43535859,2013
"7549","18-24","38","Male","NH White","No",38541.235710151,2013
"7550","25-34","38","Male","NH White","No",43481.5341224318,2013
"7551","35-44","38","Male","NH White","No",33244.5657306888,2013
"7552","45-54","38","Male","NH White","No",34262.7862961603,2013
"7553","55-64","38","Male","NH White","No",31259.5512292708,2013
"7554",">65","38","Male","NH White","No",28005.0062693592,2013
"7555","18-24","39","Male","NH White","No",446674.500686985,2013
"7556","25-34","39","Male","NH White","No",520403.438118282,2013
"7557","35-44","39","Male","NH White","No",497297.785085534,2013
"7558","45-54","39","Male","NH White","No",519625.156922058,2013
"7559","55-64","39","Male","NH White","No",420811.409715133,2013
"7560",">65","39","Male","NH White","No",429326.921603261,2013
"7561","18-24","40","Male","NH White","No",121129.143909383,2013
"7562","25-34","40","Male","NH White","No",156446.43409149,2013
"7563","35-44","40","Male","NH White","No",142271.988710155,2013
"7564","45-54","40","Male","NH White","No",120401.75077949,2013
"7565","55-64","40","Male","NH White","No",103750.765735925,2013
"7566",">65","40","Male","NH White","No",118489.526456075,2013
"7567","18-24","41","Male","NH White","No",124739.634569977,2013
"7568","25-34","41","Male","NH White","No",193272.144902106,2013
"7569","35-44","41","Male","NH White","No",169699.213080371,2013
"7570","45-54","41","Male","NH White","No",164111.259550453,2013
"7571","55-64","41","Male","NH White","No",162416.254866591,2013
"7572",">65","41","Male","NH White","No",156684.032255267,2013
"7573","18-24","42","Male","NH White","No",459866.694959606,2013
"7574","25-34","42","Male","NH White","No",618502.660318713,2013
"7575","35-44","42","Male","NH White","No",478303.941230076,2013
"7576","45-54","42","Male","NH White","No",590957.550265319,2013
"7577","55-64","42","Male","NH White","No",496624.329843888,2013
"7578",">65","42","Male","NH White","No",494308.006429369,2013
"7579","18-24","44","Male","NH White","No",42638.9935427456,2013
"7580","25-34","44","Male","NH White","No",40295.3998883132,2013
"7581","35-44","44","Male","NH White","No",40706.2273149107,2013
"7582","45-54","44","Male","NH White","No",46144.2245468195,2013
"7583","55-64","44","Male","NH White","No",39783.8524288625,2013
"7584",">65","44","Male","NH White","No",35943.8986613824,2013
"7585","18-24","45","Male","NH White","No",145430.095054517,2013
"7586","25-34","45","Male","NH White","No",164414.805596674,2013
"7587","35-44","45","Male","NH White","No",160203.537809099,2013
"7588","45-54","45","Male","NH White","No",160660.690269232,2013
"7589","55-64","45","Male","NH White","No",123067.718531228,2013
"7590",">65","45","Male","NH White","No",145376.218098849,2013
"7591","18-24","46","Male","NH White","No",34619.109193282,2013
"7592","25-34","46","Male","NH White","No",45174.6505467799,2013
"7593","35-44","46","Male","NH White","No",33929.4285377598,2013
"7594","45-54","46","Male","NH White","No",42837.8867879824,2013
"7595","55-64","46","Male","NH White","No",34241.4596924324,2013
"7596",">65","46","Male","NH White","No",31254.0228846793,2013
"7597","18-24","47","Male","NH White","No",231537.475143055,2013
"7598","25-34","47","Male","NH White","No",274389.780792609,2013
"7599","35-44","47","Male","NH White","No",242595.370122581,2013
"7600","45-54","47","Male","NH White","No",265428.896936605,2013
"7601","55-64","47","Male","NH White","No",235678.050237288,2013
"7602",">65","47","Male","NH White","No",210559.022574262,2013
"7603","18-24","48","Male","NH White","No",538900.229946137,2013
"7604","25-34","48","Male","NH White","No",702073.499907076,2013
"7605","35-44","48","Male","NH White","No",577484.148206726,2013
"7606","45-54","48","Male","NH White","No",671362.756549363,2013
"7607","55-64","48","Male","NH White","No",508940.687131671,2013
"7608",">65","48","Male","NH White","No",565018.719669698,2013
"7609","18-24","49","Male","NH White","No",124264.750100211,2013
"7610","25-34","49","Male","NH White","No",173232.197606643,2013
"7611","35-44","49","Male","NH White","No",131659.379300859,2013
"7612","45-54","49","Male","NH White","No",101990.233809155,2013
"7613","55-64","49","Male","NH White","No",79898.053583259,2013
"7614",">65","49","Male","NH White","No",77235.6047644657,2013
"7615","18-24","50","Male","NH White","No",31579.479807552,2013
"7616","25-34","50","Male","NH White","No",30467.1117342228,2013
"7617","35-44","50","Male","NH White","No",29586.0934316661,2013
"7618","45-54","50","Male","NH White","No",35177.2291298153,2013
"7619","55-64","50","Male","NH White","No",30739.1360228295,2013
"7620",">65","50","Male","NH White","No",24852.0946453086,2013
"7621","18-24","51","Male","NH White","No",250677.010278698,2013
"7622","25-34","51","Male","NH White","No",340776.679376348,2013
"7623","35-44","51","Male","NH White","No",280025.206147661,2013
"7624","45-54","51","Male","NH White","No",298607.831631215,2013
"7625","55-64","51","Male","NH White","No",265951.783251356,2013
"7626",">65","51","Male","NH White","No",243083.547685949,2013
"7627","18-24","53","Male","NH White","No",210894.079730497,2013
"7628","25-34","53","Male","NH White","No",318920.950273684,2013
"7629","35-44","53","Male","NH White","No",297262.124267196,2013
"7630","45-54","53","Male","NH White","No",307736.49021267,2013
"7631","55-64","53","Male","NH White","No",262127.561705942,2013
"7632",">65","53","Male","NH White","No",223995.660769574,2013
"7633","18-24","54","Male","NH White","No",79477.8506379792,2013
"7634","25-34","54","Male","NH White","No",90726.2731225227,2013
"7635","35-44","54","Male","NH White","No",88850.6118385278,2013
"7636","45-54","54","Male","NH White","No",84320.064370516,2013
"7637","55-64","54","Male","NH White","No",79794.2942374045,2013
"7638",">65","54","Male","NH White","No",84502.4084707768,2013
"7639","18-24","55","Male","NH White","No",220014.828407226,2013
"7640","25-34","55","Male","NH White","No",275137.186746676,2013
"7641","35-44","55","Male","NH White","No",247558.015607856,2013
"7642","45-54","55","Male","NH White","No",279803.108813314,2013
"7643","55-64","55","Male","NH White","No",260667.486453967,2013
"7644",">65","55","Male","NH White","No",218060.478273367,2013
"7645","18-24","56","Male","NH White","No",26552.8451242172,2013
"7646","25-34","56","Male","NH White","No",33389.603458646,2013
"7647","35-44","56","Male","NH White","No",25688.0765585959,2013
"7648","45-54","56","Male","NH White","No",27226.0642679777,2013
"7649","55-64","56","Male","NH White","No",27343.864749215,2013
"7650",">65","56","Male","NH White","No",22660.5819470752,2013
"7651","18-24","1","Female","NH White","No",129565.42754459,2013
"7652","25-34","1","Female","NH White","No",174235.078427949,2013
"7653","35-44","1","Female","NH White","No",188310.170042978,2013
"7654","45-54","1","Female","NH White","No",185860.915976627,2013
"7655","55-64","1","Female","NH White","No",156460.126446252,2013
"7656",">65","1","Female","NH White","No",207345.805380049,2013
"7657","18-24","2","Female","NH White","No",15576.6650879253,2013
"7658","25-34","2","Female","NH White","No",29984.8053633606,2013
"7659","35-44","2","Female","NH White","No",26940.7474825007,2013
"7660","45-54","2","Female","NH White","No",30604.8643281382,2013
"7661","55-64","2","Female","NH White","No",25120.4641050119,2013
"7662",">65","2","Female","NH White","No",19728.3588325335,2013
"7663","18-24","4","Female","NH White","No",131192.72963138,2013
"7664","25-34","4","Female","NH White","No",180112.777027822,2013
"7665","35-44","4","Female","NH White","No",197943.521557893,2013
"7666","45-54","4","Female","NH White","No",231225.700482753,2013
"7667","55-64","4","Female","NH White","No",235262.800479363,2013
"7668",">65","4","Female","NH White","No",345613.918188733,2013
"7669","18-24","5","Female","NH White","No",89123.7640057852,2013
"7670","25-34","5","Female","NH White","No",126562.479608094,2013
"7671","35-44","5","Female","NH White","No",115742.46681718,2013
"7672","45-54","5","Female","NH White","No",123333.144712252,2013
"7673","55-64","5","Female","NH White","No",110056.470870074,2013
"7674",">65","5","Female","NH White","No",156088.02950619,2013
"7675","18-24","6","Female","NH White","No",527460.508422207,2013
"7676","25-34","6","Female","NH White","No",788661.333968016,2013
"7677","35-44","6","Female","NH White","No",714921.908070172,2013
"7678","45-54","6","Female","NH White","No",1117509.05308439,2013
"7679","55-64","6","Female","NH White","No",985444.130728794,2013
"7680",">65","6","Female","NH White","No",1260454.67684054,2013
"7681","18-24","8","Female","NH White","No",164828.921773311,2013
"7682","25-34","8","Female","NH White","No",217783.270807264,2013
"7683","35-44","8","Female","NH White","No",218386.321320511,2013
"7684","45-54","8","Female","NH White","No",261213.334171031,2013
"7685","55-64","8","Female","NH White","No",228064.059682165,2013
"7686",">65","8","Female","NH White","No",231255.767061485,2013
"7687","18-24","9","Female","NH White","No",96045.1443659639,2013
"7688","25-34","9","Female","NH White","No",115678.960307464,2013
"7689","35-44","9","Female","NH White","No",137734.728254238,2013
"7690","45-54","9","Female","NH White","No",199574.39805997,2013
"7691","55-64","9","Female","NH White","No",158301.124782656,2013
"7692",">65","9","Female","NH White","No",188970.996577745,2013
"7693","18-24","10","Female","NH White","No",26271.8791934081,2013
"7694","25-34","10","Female","NH White","No",30973.9133845352,2013
"7695","35-44","10","Female","NH White","No",29763.1651576786,2013
"7696","45-54","10","Female","NH White","No",43751.015459958,2013
"7697","55-64","10","Female","NH White","No",33126.601587603,2013
"7698",">65","10","Female","NH White","No",47299.3685603113,2013
"7699","18-24","11","Female","NH White","No",7974.57268777267,2013
"7700","25-34","11","Female","NH White","No",39545.9520527032,2013
"7701","35-44","11","Female","NH White","No",16517.894159271,2013
"7702","45-54","11","Female","NH White","No",11284.4040060575,2013
"7703","55-64","11","Female","NH White","No",11203.7720866894,2013
"7704",">65","11","Female","NH White","No",13105.53656682,2013
"7705","18-24","12","Female","NH White","No",392020.572814885,2013
"7706","25-34","12","Female","NH White","No",544282.394711617,2013
"7707","35-44","12","Female","NH White","No",548616.567524919,2013
"7708","45-54","12","Female","NH White","No",660144.468354298,2013
"7709","55-64","12","Female","NH White","No",730129.663764307,2013
"7710",">65","12","Female","NH White","No",1037999.63424875,2013
"7711","18-24","13","Female","NH White","No",210032.076695523,2013
"7712","25-34","13","Female","NH White","No",328540.664336592,2013
"7713","35-44","13","Female","NH White","No",326776.292300135,2013
"7714","45-54","13","Female","NH White","No",342194.820750368,2013
"7715","55-64","13","Female","NH White","No",271845.338122196,2013
"7716",">65","13","Female","NH White","No",340180.48394516,2013
"7717","18-24","15","Female","NH White","No",8018.72663612588,2013
"7718","25-34","15","Female","NH White","No",22888.422232619,2013
"7719","35-44","15","Female","NH White","No",15887.4004441978,2013
"7720","45-54","15","Female","NH White","No",19100.5893707227,2013
"7721","55-64","15","Female","NH White","No",23721.1272944881,2013
"7722",">65","15","Female","NH White","No",28893.2690276488,2013
